text,label
I love machine learning and artificial intelligence,positive
This product is extremely bad and disappointing,negative
Natural language processing is very interesting,positive
I hate spam messages and fake calls,negative
Deep learning models perform well on large data,positive
The service quality was terrible and slow,negative
AI is transforming healthcare and education,positive
This app crashes frequently and is useless,negative
Data science is an exciting career option,positive
The customer support experience was awful,negative
Machine learning improves decision making,positive
The software has too many bugs,negative
Artificial intelligence helps solve complex problems,positive
I am unhappy with the poor performance,negative
Technology advancements are beneficial to society,positive
The interface design is confusing and frustrating,negative
